age,cumulative_probability
0,0
1,0.01356
2,0.02712
3,0.05423
4,0.10846
5,0.11337
6,0.12544
7,0.13751
8,0.14957
9,0.16164
10,0.17371
11,0.1851
12,0.19649
13,0.20789
14,0.21928
15,0.23067
16,0.24276
17,0.25485
18,0.26693
19,0.27902
20,0.29111
21,0.3042
22,0.3173
23,0.33039
24,0.34349
25,0.35658
26,0.3705
27,0.38442
28,0.39835
29,0.41227
30,0.42619
31,0.43955
32,0.45292
33,0.46628
34,0.47964
35,0.493
36,0.5056
37,0.51821
38,0.53081
39,0.54342
40,0.55602
41,0.56873
42,0.58145
43,0.59416
44,0.60688
45,0.61959
46,0.63343
47,0.64727
48,0.6611
49,0.67494
50,0.68878
51,0.7023
52,0.71582
53,0.72934
54,0.74286
55,0.75638
56,0.76798
57,0.77958
58,0.79117
59,0.80277
60,0.81437
61,0.82425
62,0.83413
63,0.84402
64,0.8539
65,0.86378
66,0.87378
67,0.88377
68,0.89376
69,0.90376
70,0.91375
71,0.92103
72,0.92832
73,0.9356
74,0.94288
75,0.95017
76,0.95525
77,0.96034
78,0.96542
79,0.9705
80,0.97559
81,0.97681
82,0.97803
83,0.97925
84,0.98047
85,0.98169
86,0.98291
87,0.98413
88,0.98535
89,0.98657
90,0.98779
91,0.98901
92,0.99024
93,0.99146
94,0.99268
95,0.9939
96,0.99512
97,0.99634
98,0.99756
99,0.99878
100,1
