name,child,adult,elderly
socialising with friends,1,1,1
watching TV,1,1,1
café or restaurant,0,1,1
socialising with family,1,1,1
walking the dog,0,1,1
going to a comedy show,0,1,1
listening to music,1,1,1
watching live music,0,1,1
travelling,0,1,1
walking,1,1,1
going to the cinema,1,1,1
cooking,0,1,1
baking,0,1,1
surfing the internet,0,1,1
doing quizzes or puzzles,1,1,1
photography,0,1,1
visiting museums or galleries,0,1,1
swimming,1,1,1
bowling,0,1,1
writing,0,1,1
visiting historical monuments,0,1,1
hiking,1,1,1
gardening,0,1,1
playing sport,1,1,1
shopping,1,1,1
playing music,1,1,1
doing pub quizzes,0,1,1
going to the theatre,0,1,1
painting,1,1,1
drinking,0,1,1
watching football,0,1,1
hobbycraft,1,1,1
using social media,0,1,1
bird watching,0,1,1
going to the gym,0,1,1
jogging,0,1,1
cycling,1,1,1
scrapbooking,0,1,1
knitting,0,1,1
sewing,0,1,1
going to music festivals,0,1,1
pole dancing,0,1,1
mountain biking,0,1,1
driving a car,0,1,1
riding a motorbike,0,1,1
trail running,0,1,1
bingo,0,1,1
golf,0,1,1
knitting or crocheting,0,1,1
fishing,0,1,1
gambling,0,1,1
cards,0,1,1
stamp collecting,1,1,1
playing with toys,1,0,0
